"siteID.x","GPS_lat","GPS_long","presence_year_2023","presence_year_2024","absence_year_2023","absence_year_2024"
"DZ1_3",40.244436,-111.719664,4,0,71,75
"DZ1_4",40.246814,-111.718824,0,2,75,73
"DZ1_6",40.243978,-111.718342,0,1,75,74
"DZ2_1",40.247054,-111.729827,0,0,75,75
"DZ2_2",40.245785,-111.730208,0,0,75,75
"DZ2_3",40.2454157,-111.7283928,0,4,75,71
"DZ3_2",40.2461248,-111.7238676,1,0,74,75
"DZ3_3",40.248428,-111.72588,0,0,75,75
"DZ3_4",40.248686,-111.726989,0,0,75,75
"DZ4_1",40.2500143,-111.7288555,0,2,75,73
"DZ4_2",40.250287,-111.726631,0,0,75,75
"DZ4_5",40.25091,-111.723676,0,0,75,75
"RZ_1",40.240766,-111.718471,0,0,75,75
"RZ_5",40.242833,-111.719109,3,1,72,74
"RZ_6",40.243769,-111.718547,5,3,70,72
