"siteID.x","year","presence","absence","GPS_lat","GPS_long"
"DZ1_3",2023,4,71,40.244436,-111.719664
"DZ1_3",2024,0,75,40.244436,-111.719664
"DZ1_4",2023,0,75,40.246814,-111.718824
"DZ1_4",2024,2,73,40.246814,-111.718824
"DZ1_6",2023,0,75,40.243978,-111.718342
"DZ1_6",2024,1,74,40.243978,-111.718342
"DZ2_1",2023,0,75,40.247054,-111.729827
"DZ2_1",2024,0,75,40.247054,-111.729827
"DZ2_2",2023,0,75,40.245785,-111.730208
"DZ2_2",2024,0,75,40.245785,-111.730208
"DZ2_3",2023,0,75,40.2454157,-111.7283928
"DZ2_3",2024,4,71,40.2454157,-111.7283928
"DZ3_2",2023,1,74,40.2461248,-111.7238676
"DZ3_2",2024,0,75,40.2461248,-111.7238676
"DZ3_3",2023,0,75,40.248428,-111.72588
"DZ3_3",2024,0,75,40.248428,-111.72588
"DZ3_4",2023,0,75,40.248686,-111.726989
"DZ3_4",2024,0,75,40.248686,-111.726989
"DZ4_1",2023,0,75,40.2500143,-111.7288555
"DZ4_1",2024,2,73,40.2500143,-111.7288555
"DZ4_2",2023,0,75,40.250287,-111.726631
"DZ4_2",2024,0,75,40.250287,-111.726631
"DZ4_5",2023,0,75,40.25091,-111.723676
"DZ4_5",2024,0,75,40.25091,-111.723676
"RZ_1",2023,0,75,40.240766,-111.718471
"RZ_1",2024,0,75,40.240766,-111.718471
"RZ_5",2023,3,72,40.242833,-111.719109
"RZ_5",2024,1,74,40.242833,-111.719109
"RZ_6",2023,5,70,40.243769,-111.718547
"RZ_6",2024,3,72,40.243769,-111.718547
